id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
107470,77290,Call of Duty,NULL,2004-12-31 00:00:00.000,2,NULL,NULL,NULL,64.9382,14
166237,621,Call of Duty,NULL,2003-10-29 00:00:00.000,189,NULL,86.6667,4,82.2125,565
156821,622,Call of Duty 2,Call of Duty 2 contains four individual campaigns that are split into three stories. Each story concerns a World War II soldier overcoming insurmountable odds in the war.,2005-10-25 00:00:00.000,294,NULL,84.4000,5,84.1482,759
66578,119160,Call of Duty 2,NULL,2006-12-31 00:00:00.000,1,NULL,NULL,NULL,60.0625,12
80740,3845,Call of Duty 2: Big Red One,NULL,2005-11-01 00:00:00.000,9,NULL,79.7500,5,76.7463,45
195731,949,Call of Duty 3,"Call of Duty 3 is a historic first-person shooter that takes place during World War II. The single player campaign is modeled after the Normandy breakout, where the British, Canadian, American, Polish, and French Resistance forces pushed into the village of Chambois, France, also known as the Falaise Gap.",2006-11-07 00:00:00.000,46,NULL,73.8000,6,71.1294,222
60957,47466,Call of Duty 3: Gold Edition,"Call of Duty 3 is a historic first-person shooter that takes place during World War II. The single player campaign is modeled after the Normandy breakout, where the British, Canadian, American, Polish, and French Resistance forces pushed into the village of Chambois, France, also known as the Falaise Gap.",2007-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
94756,135294,Call of Duty 4: Modern Warfare,NULL,2007-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
109907,134651,Call of Duty 4: Modern Warfare,NULL,2007-11-05 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
175854,43029,Call of Duty Classic,NULL,2009-11-10 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
24884,52718,Call of Duty Definitive Collection,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
103008,77289,Call of Duty Online,NULL,2015-01-11 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
